"","COMMON.NAME","OBSERVATION.COUNT","LATITUDE","LONGITUDE","OBSERVATION.DATE","TIME.OBSERVATIONS.STARTED","PROTOCOL.TYPE","DURATION.MINUTES","EFFORT.DISTANCE.KM","EFFORT.AREA.HA","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","julian_date"
"5538127","Tree Swallow",1500,42.9669441,-76.7409772,2022-07-30,"07:07:00","Traveling",27,0.538,NA,17,1,211
"5538143","Tree Swallow",300,42.9817483,-76.7353284,2022-07-25,"09:02:00","Traveling",105,3.476,NA,1,1,206
"5538144","Tree Swallow",500,42.9669441,-76.7409772,2022-07-09,"07:15:00","Traveling",88,0.483,NA,21,1,190
"5538145","Tree Swallow",507,42.9669441,-76.7409772,2022-07-10,"07:46:00","Traveling",83,1.872,NA,2,1,191
"5538156","Tree Swallow",400,42.9817483,-76.7353284,2022-07-21,"08:01:00","Traveling",150,8.047,NA,1,1,202
"5538159","Tree Swallow",250,42.9817483,-76.7353284,2022-07-29,"08:00:00","Traveling",150,12.875,NA,1,1,210
"5538164","Tree Swallow",1500,42.9669441,-76.7409772,2022-07-30,"07:07:00","Traveling",27,0.538,NA,17,1,211
"5538172","Tree Swallow",210,42.9694727,-76.7402469,2022-07-24,"11:32:00","Traveling",25,0.805,NA,1,1,205
"5538174","Tree Swallow",500,42.9817483,-76.7353284,2022-07-19,"18:34:00","Traveling",83,6.204,NA,1,1,200
"5538181","Tree Swallow",250,42.9817483,-76.7353284,2022-07-21,"09:48:00","Traveling",155,8.143,NA,2,1,202
"5538184","Tree Swallow",1500,42.9669441,-76.7409772,2022-07-30,"07:07:00","Traveling",27,0.538,NA,17,1,211
"5538185","Tree Swallow",500,42.9669441,-76.7409772,2022-07-09,"07:15:00","Traveling",88,0.483,NA,21,1,190
"5538186","Tree Swallow",500,42.9669441,-76.7409772,2022-07-09,"07:15:00","Traveling",88,0.483,NA,21,1,190
"5538202","Tree Swallow",500,42.9796604,-76.7437077,2022-07-21,"19:00:00","Traveling",46,5.098,NA,2,1,202
"5538212","Tree Swallow",1000,42.9817483,-76.7353284,2022-07-23,"07:40:00","Traveling",100,4.88,NA,4,1,204
"5538228","Tree Swallow",1500,42.9669441,-76.7409772,2022-07-30,"07:07:00","Traveling",27,0.538,NA,17,1,211
"5538239","Tree Swallow",1000,42.9817483,-76.7353284,2022-07-23,"07:40:00","Traveling",100,4.88,NA,4,1,204
"5538245","Tree Swallow",1000,42.9817483,-76.7353284,2022-07-25,"07:46:00","Traveling",107,7.893,NA,1,1,206
"5538248","Tree Swallow",500,42.9669441,-76.7409772,2022-07-09,"07:15:00","Traveling",88,0.483,NA,21,1,190
"5538264","Tree Swallow",500,42.9669441,-76.7409772,2022-07-09,"07:15:00","Traveling",88,0.483,NA,21,1,190
"5538266","Tree Swallow",507,42.9669441,-76.7409772,2022-07-10,"07:46:00","Traveling",83,1.872,NA,2,1,191
"5538268","Tree Swallow",1500,42.9669441,-76.7409772,2022-07-30,"07:07:00","Traveling",27,0.538,NA,17,1,211
"5538270","Tree Swallow",500,42.9796604,-76.7437077,2022-07-21,"19:00:00","Traveling",46,5.098,NA,2,1,202
"5538275","Tree Swallow",3000,42.9817483,-76.7353284,2022-07-30,"07:36:00","Traveling",86,4.031,NA,17,1,211
"5538276","Tree Swallow",3000,42.9817483,-76.7353284,2022-07-30,"07:36:00","Traveling",86,4.031,NA,17,1,211
"5538277","Tree Swallow",3000,42.9817483,-76.7353284,2022-07-30,"07:36:00","Traveling",86,4.031,NA,17,1,211
"5538278","Tree Swallow",3000,42.9817483,-76.7353284,2022-07-30,"07:36:00","Traveling",86,4.031,NA,17,1,211
"5538279","Tree Swallow",3000,42.9817483,-76.7353284,2022-07-30,"07:36:00","Traveling",86,4.031,NA,17,1,211
"5538280","Tree Swallow",3000,43.009646,-76.7582003,2022-07-19,"20:05:00","Traveling",36,1.215,NA,1,1,200
"5538281","Tree Swallow",3000,42.9817483,-76.7353284,2022-07-30,"07:36:00","Traveling",86,4.031,NA,17,1,211
"5538282","Tree Swallow",3000,42.9817483,-76.7353284,2022-07-30,"07:36:00","Traveling",86,4.031,NA,17,1,211
"5538283","Tree Swallow",3000,42.9817483,-76.7353284,2022-07-30,"07:36:00","Traveling",86,4.031,NA,17,1,211
"5538284","Tree Swallow",3000,42.9817483,-76.7353284,2022-07-30,"07:36:00","Traveling",86,4.031,NA,17,1,211
"5538285","Tree Swallow",3000,42.9817483,-76.7353284,2022-07-30,"07:36:00","Traveling",86,4.031,NA,17,1,211
"5538286","Tree Swallow",3000,42.9817483,-76.7353284,2022-07-30,"07:36:00","Traveling",86,4.031,NA,17,1,211
"5538287","Tree Swallow",3000,42.9817483,-76.7353284,2022-07-30,"07:36:00","Traveling",86,4.031,NA,17,1,211
"5538288","Tree Swallow",3000,42.9817483,-76.7353284,2022-07-30,"07:36:00","Traveling",86,4.031,NA,17,1,211
"5538289","Tree Swallow",3000,42.9817483,-76.7353284,2022-07-30,"07:36:00","Traveling",86,4.031,NA,17,1,211
"5538290","Tree Swallow",3000,42.9817483,-76.7353284,2022-07-30,"07:36:00","Traveling",86,4.031,NA,17,1,211
"5538291","Tree Swallow",3000,42.9817483,-76.7353284,2022-07-30,"07:36:00","Traveling",86,4.031,NA,17,1,211
"5538292","Tree Swallow",3000,42.9817483,-76.7353284,2022-07-30,"07:36:00","Traveling",86,4.031,NA,17,1,211
"5538295","Tree Swallow",300,42.993587,-76.8136783,2022-08-13,"06:37:00","Stationary",14,NA,NA,2,1,225
"5538306","Tree Swallow",600,43.0076202,-76.7529774,2022-08-27,"07:41:00","Traveling",207,1.448,NA,25,1,239
"5538322","Tree Swallow",300,43.0076202,-76.7529774,2022-08-20,"07:04:00","Traveling",133,3.331,NA,2,1,232
"5538325","Tree Swallow",300,42.9817483,-76.7353284,2022-08-06,"07:11:00","Traveling",89,5.938,NA,1,1,218
"5538334","Tree Swallow",300,43.0038224,-76.7457005,2022-08-19,"07:51:00","Traveling",113,4.261,NA,1,1,231
"5538339","Tree Swallow",2000,43.0074716,-76.7464542,2022-08-20,"07:07:00","Traveling",184,1.513,NA,25,1,232
"5538340","Tree Swallow",2000,43.0074716,-76.7464542,2022-08-20,"07:07:00","Traveling",184,1.513,NA,25,1,232
"5538359","Tree Swallow",600,43.0076202,-76.7529774,2022-08-27,"07:41:00","Traveling",207,1.448,NA,25,1,239
"5538373","Tree Swallow",600,43.0076202,-76.7529774,2022-08-27,"07:41:00","Traveling",207,1.448,NA,25,1,239
"5538392","Tree Swallow",2000,43.0074716,-76.7464542,2022-08-20,"07:07:00","Traveling",184,1.513,NA,25,1,232
"5538399","Tree Swallow",2000,43.0074716,-76.7464542,2022-08-20,"07:07:00","Traveling",184,1.513,NA,25,1,232
"5538415","Tree Swallow",300,42.993587,-76.8136783,2022-08-13,"06:37:00","Stationary",14,NA,NA,2,1,225
"5538427","Tree Swallow",300,43.0076202,-76.7529774,2022-08-20,"07:04:00","Traveling",133,3.331,NA,2,1,232
"5538432","Tree Swallow",300,42.97062,-76.772992,2022-08-13,"16:41:00","Traveling",17,0.701,NA,2,1,225
"5538479","Tree Swallow",10000,42.9669441,-76.7409772,2022-08-14,"06:59:00","Traveling",52,0.409,NA,1,1,226
"5538480","Tree Swallow",5000,42.9817483,-76.7353284,2022-08-14,"07:57:00","Traveling",97,2.862,NA,1,1,226
"5538500","Tree Swallow",1500,43.0076202,-76.7529774,2022-09-09,"18:31:00","Traveling",71,0.708,NA,2,1,252
"5538509","Tree Swallow",500,42.97062,-76.772992,2022-09-04,"10:25:00","Traveling",27,1.037,NA,2,1,247
"5538560","Tree Swallow",501,42.9892318,-76.7711279,2022-09-10,"06:01:00","Traveling",96,0.255,NA,1,1,253
"5538606","Tree Swallow",250,42.9669441,-76.7409772,2022-09-08,"13:58:00","Traveling",12,0.402,NA,1,1,251
"5538672","Tree Swallow",500,42.9892318,-76.7711279,2022-09-10,"05:38:00","Traveling",119,0.36,NA,5,1,253
"5538714","Tree Swallow",1000,43.0038224,-76.7457005,2022-09-10,"07:30:00","Incidental",NA,NA,NA,7,0,253
"5538770","Tree Swallow",1500,43.0076202,-76.7529774,2022-09-09,"18:31:00","Traveling",71,0.708,NA,2,1,252
"5538782","Tree Swallow",500,42.97062,-76.772992,2022-09-04,"10:25:00","Traveling",27,1.037,NA,2,1,247
"5538788","Tree Swallow",500,42.9892318,-76.7711279,2022-09-10,"06:15:00","Stationary",87,NA,NA,6,1,253
"5538789","Tree Swallow",10000,43.0038224,-76.7457005,2022-09-10,"07:46:00","Traveling",37,0.784,NA,1,0,253
"5538790","Tree Swallow",204,42.8731414,-76.949299,2022-10-19,"08:33:00","Traveling",66,4.281,NA,1,1,292
"5538864","Tree Swallow",500,42.9817483,-76.7353284,2022-10-06,"10:24:00","Traveling",47,4.828,NA,1,1,279
"5538871","Tree Swallow",300,42.9817483,-76.7353284,2022-10-05,"09:59:00","Traveling",81,6.388,NA,1,1,278
"5540372","Tree Swallow",250,42.9817483,-76.7353284,2023-07-29,"08:45:00","Traveling",55,5.987,NA,2,1,210
"5540419","Tree Swallow",300,42.9817483,-76.7353284,2023-08-09,"06:17:00","Traveling",255,6.48,NA,1,1,221
"5540420","Tree Swallow",500,42.9817483,-76.7353284,2023-08-12,"19:08:00","Traveling",150,2.414,NA,5,1,224
"5540428","Tree Swallow",2500,42.9817483,-76.7353284,2023-08-12,"18:41:00","Traveling",130,15.916,NA,1,1,224
"5540465","Tree Swallow",1500,42.9817483,-76.7353284,2023-08-20,"07:08:00","Traveling",79,4.442,NA,1,1,232
"5540541","Tree Swallow",1000,42.9795453,-76.7357712,2023-08-06,"17:50:00","Traveling",150,8.047,NA,3,1,218
"5540557","Tree Swallow",2000,42.9669441,-76.7409772,2023-08-20,"06:58:00","Traveling",9,0.579,NA,1,0,232
"5540582","Tree Swallow",4000,42.9817483,-76.7353284,2023-08-05,"06:18:00","Traveling",121,5.023,NA,3,1,217
"5540583","Tree Swallow",500,42.978132,-76.736462,2023-08-11,"20:24:00","Traveling",120,2.414,NA,3,1,223
"5540584","Tree Swallow",4000,42.9817483,-76.7353284,2023-08-05,"06:18:00","Traveling",121,5.023,NA,3,1,217
"5540599","Tree Swallow",260,42.9345166,-76.8230799,2023-09-27,"12:41:00","Traveling",118,2.092,NA,1,1,270
"5540607","Tree Swallow",500,42.9669441,-76.7409772,2023-09-09,"07:00:00","Traveling",26,0.999,NA,1,1,252
"5540685","Tree Swallow",2000,42.9892318,-76.7711279,2023-09-09,"13:05:00","Stationary",5,NA,NA,2,1,252
"5540720","Tree Swallow",2000,42.9892318,-76.7711279,2023-09-09,"13:05:00","Stationary",5,NA,NA,2,1,252
"5540750","Tree Swallow",250,42.9817483,-76.7353284,2023-10-07,"14:23:00","Traveling",89,6.05,NA,2,1,280
"5540755","Tree Swallow",250,42.9817483,-76.7353284,2023-10-07,"14:23:00","Traveling",88,6.05,NA,2,1,280
"5542364","Tree Swallow",400,42.9817483,-76.7353284,2024-07-16,"15:09:00","Traveling",56,6.141,NA,3,1,198
"5542393","Tree Swallow",400,42.9817483,-76.7353284,2024-07-16,"15:09:00","Traveling",56,6.141,NA,3,1,198
"5542442","Tree Swallow",500,42.9817483,-76.7353284,2024-07-16,"05:34:00","Traveling",96,5.579,NA,1,1,198
"5542464","Tree Swallow",1500,42.9817483,-76.7353284,2024-07-16,"05:40:00","Traveling",130,4.12,NA,1,1,198
"5542476","Tree Swallow",1250,42.9791667,-76.84375,2024-07-05,"07:18:00","Traveling",180,8.047,NA,1,1,187
"5542485","Tree Swallow",400,42.9817483,-76.7353284,2024-07-16,"15:09:00","Traveling",56,6.141,NA,3,1,198
"5542496","Tree Swallow",300,42.9817483,-76.7353284,2024-07-16,"07:26:00","Traveling",48,6.421,NA,1,1,198
"5542534","Tree Swallow",500,42.9885294,-76.7593127,2024-07-21,"20:14:00","Traveling",6,0.819,NA,1,1,203
"5542552","Tree Swallow",1500,42.9817483,-76.7353284,2024-07-21,"18:52:00","Traveling",79,3.905,NA,1,1,203
"5542555","Tree Swallow",1e+05,42.9694727,-76.7402469,2024-07-21,"20:30:00","Traveling",37,0.532,NA,1,1,203
"5542556","Tree Swallow",5000,42.9817483,-76.7353284,2024-07-28,"08:11:00","Traveling",119,5.001,NA,2,1,210
"5542557","Tree Swallow",5000,42.9817483,-76.7353284,2024-07-28,"08:11:00","Traveling",119,5.001,NA,2,1,210
"5542558","Tree Swallow",5000,42.9669441,-76.7409772,2024-07-30,"06:23:00","Incidental",NA,NA,NA,1,0,212
"5542559","Tree Swallow",25000,42.9817483,-76.7353284,2024-07-30,"06:24:00","Traveling",54,5.81,NA,1,1,212
"5542560","Tree Swallow",288,43.0076202,-76.7529774,2024-08-24,"11:08:00","Stationary",29,NA,NA,22,1,237
"5542561","Tree Swallow",288,43.0076202,-76.7529774,2024-08-24,"11:08:00","Stationary",29,NA,NA,22,1,237
"5542563","Tree Swallow",520,42.9817483,-76.7353284,2024-08-24,"07:48:00","Traveling",151,7.286,NA,24,1,237
"5542585","Tree Swallow",1000,42.9817483,-76.7353284,2024-08-24,"19:30:00","Traveling",48,4.828,NA,1,1,237
"5542587","Tree Swallow",520,42.9817483,-76.7353284,2024-08-24,"07:48:00","Traveling",151,7.286,NA,24,1,237
"5542588","Tree Swallow",520,42.9817483,-76.7353284,2024-08-24,"07:48:00","Traveling",151,7.286,NA,24,1,237
"5542593","Tree Swallow",288,43.0076202,-76.7529774,2024-08-24,"11:08:00","Stationary",29,NA,NA,22,1,237
"5542595","Tree Swallow",520,42.9817483,-76.7353284,2024-08-24,"07:48:00","Traveling",151,7.286,NA,24,1,237
"5542596","Tree Swallow",520,42.9817483,-76.7353284,2024-08-24,"07:48:00","Traveling",151,7.286,NA,24,1,237
"5542600","Tree Swallow",300,43.009646,-76.7582003,2024-08-17,"13:34:00","Traveling",14,1.835,NA,2,1,230
"5542603","Tree Swallow",288,43.0076202,-76.7529774,2024-08-24,"11:08:00","Stationary",29,NA,NA,22,1,237
"5542611","Tree Swallow",1000,43.009646,-76.7582003,2024-08-17,"09:18:00","Traveling",26,1.187,NA,2,1,230
"5542619","Tree Swallow",520,42.9817483,-76.7353284,2024-08-24,"07:48:00","Traveling",151,7.286,NA,24,1,237
"5542621","Tree Swallow",500,42.9817483,-76.7353284,2024-08-04,"07:27:00","Traveling",62,6.446,NA,2,1,217
"5542628","Tree Swallow",288,43.0076202,-76.7529774,2024-08-24,"11:08:00","Stationary",29,NA,NA,22,1,237
"5542630","Tree Swallow",520,42.9817483,-76.7353284,2024-08-24,"07:48:00","Traveling",151,7.286,NA,24,1,237
"5542645","Tree Swallow",250,43.0076202,-76.7529774,2024-08-24,"18:56:00","Stationary",24,NA,NA,1,1,237
"5542646","Tree Swallow",288,43.0076202,-76.7529774,2024-08-24,"11:08:00","Stationary",29,NA,NA,22,1,237
"5542654","Tree Swallow",520,42.9817483,-76.7353284,2024-08-24,"07:48:00","Traveling",151,7.286,NA,24,1,237
"5542660","Tree Swallow",288,43.0076202,-76.7529774,2024-08-24,"11:08:00","Stationary",29,NA,NA,22,1,237
"5542668","Tree Swallow",288,43.0076202,-76.7529774,2024-08-24,"11:08:00","Stationary",29,NA,NA,22,1,237
"5542669","Tree Swallow",520,42.9817483,-76.7353284,2024-08-24,"07:48:00","Traveling",151,7.286,NA,24,1,237
"5542674","Tree Swallow",288,43.0076202,-76.7529774,2024-08-24,"11:08:00","Stationary",29,NA,NA,22,1,237
"5542676","Tree Swallow",288,43.0076202,-76.7529774,2024-08-24,"11:08:00","Stationary",29,NA,NA,22,1,237
"5542679","Tree Swallow",300,42.9817483,-76.7353284,2024-08-22,"09:58:00","Traveling",156,15.309,NA,1,1,235
"5542680","Tree Swallow",520,42.9817483,-76.7353284,2024-08-24,"07:48:00","Traveling",151,7.286,NA,24,1,237
"5542686","Tree Swallow",500,43.009646,-76.7582003,2024-08-21,"08:58:00","Stationary",119,NA,NA,1,1,234
"5542687","Tree Swallow",288,43.0076202,-76.7529774,2024-08-24,"11:08:00","Stationary",29,NA,NA,22,1,237
"5542691","Tree Swallow",500,42.9817483,-76.7353284,2024-08-04,"07:27:00","Traveling",62,6.446,NA,2,1,217
"5542692","Tree Swallow",520,42.9817483,-76.7353284,2024-08-24,"07:48:00","Traveling",151,7.286,NA,24,1,237
"5542696","Tree Swallow",1000,43.009646,-76.7582003,2024-08-17,"09:18:00","Traveling",26,1.187,NA,2,1,230
"5542698","Tree Swallow",288,43.0076202,-76.7529774,2024-08-24,"11:08:00","Stationary",29,NA,NA,22,1,237
"5542699","Tree Swallow",288,43.0076202,-76.7529774,2024-08-24,"11:08:00","Stationary",29,NA,NA,22,1,237
"5542704","Tree Swallow",520,42.9817483,-76.7353284,2024-08-24,"07:48:00","Traveling",151,7.286,NA,24,1,237
"5542706","Tree Swallow",300,43.009646,-76.7582003,2024-08-17,"13:34:00","Traveling",14,1.835,NA,2,1,230
"5542712","Tree Swallow",520,42.9817483,-76.7353284,2024-08-24,"07:48:00","Traveling",151,7.286,NA,24,1,237
"5542714","Tree Swallow",500,43.0076202,-76.7529774,2024-09-06,"17:31:00","Traveling",161,2.012,NA,2,1,250
"5542750","Tree Swallow",2500,42.9892318,-76.7711279,2024-09-28,"14:29:00","Stationary",44,NA,NA,2,1,272
"5542753","Tree Swallow",500,43.0076202,-76.7529774,2024-09-06,"17:31:00","Traveling",161,2.012,NA,2,1,250
"5542762","Tree Swallow",300,42.9892318,-76.7711279,2024-09-27,"13:42:00","Incidental",NA,NA,NA,1,0,271
"5542775","Tree Swallow",8000,43.0076202,-76.7529774,2024-09-06,"17:55:00","Traveling",135,1.207,NA,7,1,250
"5542783","Tree Swallow",500,42.9669441,-76.7409772,2024-09-07,"07:07:00","Traveling",22,0.376,NA,3,1,251
"5542795","Tree Swallow",500,42.9669441,-76.7409772,2024-09-07,"07:07:00","Traveling",22,0.376,NA,3,1,251
"5542799","Tree Swallow",8000,43.0076202,-76.7529774,2024-09-06,"17:16:00","Traveling",180,2.51,NA,7,1,250
"5542810","Tree Swallow",8000,43.0076202,-76.7529774,2024-09-06,"17:16:00","Traveling",180,2.51,NA,7,1,250
"5542822","Tree Swallow",8000,43.0076202,-76.7529774,2024-09-06,"17:16:00","Traveling",180,2.51,NA,7,1,250
"5542847","Tree Swallow",2500,42.9892318,-76.7711279,2024-09-28,"14:29:00","Stationary",44,NA,NA,2,1,272
"5542900","Tree Swallow",500,42.9669441,-76.7409772,2024-09-07,"07:07:00","Traveling",22,0.376,NA,3,1,251
"5542920","Tree Swallow",3000,42.8731414,-76.949299,2024-09-08,"07:29:00","Traveling",11,1.793,NA,1,0,252
"5585701","Tree Swallow",275,41.5384264,-74.5156422,2011-07-24,"10:00:00","Stationary",30,NA,NA,2,1,205
"5587115","Tree Swallow",300,41.5384264,-74.5156422,2015-10-03,"12:00:00","Stationary",10,NA,NA,1,1,276
"5587116","Tree Swallow",600,41.5384264,-74.5156422,2015-10-01,"09:15:00","Traveling",150,3.621,NA,1,1,274
"5587117","Tree Swallow",1000,41.5384264,-74.5156422,2015-10-01,"08:15:00","Traveling",120,6.437,NA,1,1,274
"5591729","Tree Swallow",220,41.5356812,-74.5166769,2021-09-05,"11:10:00","Stationary",80,NA,NA,2,1,248
"5591730","Tree Swallow",226,41.5384264,-74.5156422,2021-09-05,"10:00:00","Traveling",150,3.219,NA,1,1,248
"5591731","Tree Swallow",226,41.5384264,-74.5156422,2021-09-05,"09:16:00","Traveling",130,4.828,NA,1,1,248
"5592515","Tree Swallow",250,41.7509855,-74.6555534,2022-09-26,"08:55:00","Traveling",75,2.414,NA,1,1,269
"5592516","Tree Swallow",250,41.5356812,-74.5166769,2022-09-03,"07:30:00","Stationary",60,NA,NA,1,1,246
"5592540","Tree Swallow",250,41.5384264,-74.5156422,2022-09-08,"09:05:00","Traveling",179,3.243,NA,2,1,251
"5592548","Tree Swallow",500,41.5384264,-74.5156422,2022-09-08,"10:10:00","Traveling",140,5.633,NA,1,1,251
"5594423","Tree Swallow",300,41.5384264,-74.5156422,2024-09-11,"10:32:00","Traveling",163,7.242,NA,1,1,255
"5594431","Tree Swallow",360,41.5384264,-74.5156422,2024-09-11,"08:10:00","Traveling",290,5.794,NA,1,1,255
"5594434","Tree Swallow",360,41.5384264,-74.5156422,2024-09-11,"08:10:00","Traveling",290,5.794,NA,1,1,255
"5598215","Tree Swallow",1000,42.0246104,-76.4646721,2022-08-24,"19:45:00","Stationary",18,NA,NA,1,1,236
"5599530","Tree Swallow",400,42.460791,-76.5068525,2003-09-03,"08:30:00","Stationary",30,NA,NA,1,1,246
"5600529","Tree Swallow",600,42.5371252,-76.5506476,2006-10-14,"07:30:00","Stationary",105,NA,NA,1,0,287
"5611995","Tree Swallow",300,42.460791,-76.5068525,2015-08-26,"08:50:00","Stationary",16,NA,NA,1,1,238
"5619164","Tree Swallow",240,42.548268,-76.601241,2018-10-13,"09:14:00","Traveling",42,0.306,NA,1,1,286
"5654731","Tree Swallow",4000,43.0444291,-76.7268848,2010-07-16,"20:05:00","Stationary",60,NA,NA,4,1,197
"5654732","Tree Swallow",4000,43.0444291,-76.7268848,2010-07-16,"20:05:00","Stationary",60,NA,NA,4,1,197
"5654733","Tree Swallow",4000,43.0444291,-76.7268848,2010-07-16,"20:05:00","Stationary",60,NA,NA,4,1,197
"5654734","Tree Swallow",4000,43.0444291,-76.7268848,2010-07-16,"20:05:00","Stationary",60,NA,NA,4,1,197
"5654766","Tree Swallow",800,43.0847778,-76.7093333,2010-10-02,"16:02:00","Traveling",39,0.966,NA,2,1,275
"5654767","Tree Swallow",800,43.0847778,-76.7093333,2010-10-02,"16:02:00","Traveling",39,0.966,NA,2,1,275
"5654768","Tree Swallow",600,43.0489452,-76.7335796,2010-10-10,"14:20:00","Traveling",25,2.414,NA,4,1,283
"5654769","Tree Swallow",600,43.0489452,-76.7335796,2010-10-10,"14:20:00","Traveling",25,2.414,NA,4,1,283
"5654771","Tree Swallow",600,43.0489452,-76.7335796,2010-10-10,"14:20:00","Traveling",25,2.414,NA,4,1,283
"5654772","Tree Swallow",600,43.0489452,-76.7335796,2010-10-10,"14:20:00","Traveling",25,2.414,NA,4,1,283
"5655083","Tree Swallow",450,43.0444291,-76.7268848,2011-08-06,"15:45:00","Traveling",70,1.3,NA,1,1,218
"5655094","Tree Swallow",4430,43.0847778,-76.7093333,2011-08-27,"18:40:00","Stationary",80,NA,NA,1,1,239
"5655104","Tree Swallow",425,43.0572241,-76.7246532,2011-09-17,"18:30:00","Stationary",60,NA,NA,1,1,260
"5655111","Tree Swallow",300,43.0572241,-76.7246532,2011-09-04,"13:15:00","Traveling",20,0.805,NA,4,1,247
"5655114","Tree Swallow",300,43.0572241,-76.7246532,2011-09-04,"13:15:00","Traveling",20,0.805,NA,4,1,247
"5655120","Tree Swallow",300,43.0572241,-76.7246532,2011-09-04,"13:15:00","Traveling",20,0.805,NA,4,1,247
"5655121","Tree Swallow",300,43.0572241,-76.7246532,2011-09-04,"13:15:00","Traveling",20,0.805,NA,4,1,247
"5655133","Tree Swallow",650,43.0847778,-76.7093333,2011-10-09,"17:05:00","Traveling",50,1.609,NA,4,1,282
"5655134","Tree Swallow",650,43.0847778,-76.7093333,2011-10-09,"17:05:00","Traveling",50,1.609,NA,4,1,282
"5655135","Tree Swallow",650,43.0847778,-76.7093333,2011-10-09,"17:05:00","Traveling",50,1.609,NA,4,1,282
"5655136","Tree Swallow",650,43.0847778,-76.7093333,2011-10-09,"17:05:00","Traveling",50,1.609,NA,4,1,282
"5655464","Tree Swallow",230,43.0572241,-76.7246532,2012-07-29,"17:47:00","Traveling",23,0.805,NA,3,1,211
"5655474","Tree Swallow",230,43.0572241,-76.7246532,2012-07-29,"17:47:00","Traveling",23,0.805,NA,3,1,211
"5655485","Tree Swallow",230,43.0572241,-76.7246532,2012-07-29,"17:47:00","Traveling",23,0.805,NA,3,1,211
"5655503","Tree Swallow",500,43.0444291,-76.7268848,2012-08-09,"19:30:00","Traveling",60,1.609,NA,3,1,222
"5655516","Tree Swallow",500,43.0444291,-76.7268848,2012-08-09,"19:30:00","Traveling",60,1.609,NA,3,1,222
"5655517","Tree Swallow",1800,43.0572241,-76.7246532,2012-08-26,"18:00:00","Stationary",90,NA,NA,1,1,239
"5655592","Tree Swallow",5000,43.0489452,-76.7335796,2012-10-05,"08:49:00","Traveling",70,0.483,NA,2,1,279
"5655593","Tree Swallow",5000,43.0489452,-76.7335796,2012-10-05,"08:49:00","Traveling",70,0.483,NA,2,1,279
"5655594","Tree Swallow",1000,43.0489452,-76.7335796,2012-10-05,"15:38:00","Traveling",155,0.483,NA,2,1,279
"5655899","Tree Swallow",800,43.0444291,-76.7268848,2013-07-27,"19:20:00","Stationary",73,NA,NA,2,1,208
"5655900","Tree Swallow",800,43.0444291,-76.7268848,2013-07-25,"19:38:00","Stationary",85,NA,NA,2,1,206
"5655902","Tree Swallow",800,43.0444291,-76.7268848,2013-07-27,"19:20:00","Stationary",73,NA,NA,2,1,208
"5655903","Tree Swallow",600,43.0444291,-76.7268848,2013-07-23,"20:05:00","Traveling",44,0.402,NA,3,1,204
"5655910","Tree Swallow",800,43.0444291,-76.7268848,2013-07-25,"19:38:00","Stationary",85,NA,NA,2,0,206
"5655912","Tree Swallow",1200,43.0444291,-76.7268848,2013-07-23,"06:42:00","Traveling",44,0.966,NA,1,1,204
"5655926","Tree Swallow",600,43.0444291,-76.7268848,2013-07-23,"20:05:00","Traveling",44,0.402,NA,3,1,204
"5655927","Tree Swallow",600,43.0444291,-76.7268848,2013-07-23,"20:05:00","Traveling",44,0.402,NA,3,1,204
"5655935","Tree Swallow",400,43.0444291,-76.7268848,2013-07-17,"05:45:00","Stationary",105,NA,NA,2,1,198
"5655994","Tree Swallow",250,43.0489452,-76.7335796,2013-08-24,"09:29:00","Stationary",23,NA,NA,18,1,236
"5656599","Tree Swallow",1750,43.0739999,-77.2620821,2014-09-25,"12:50:00","Stationary",20,NA,NA,2,0,268
"5656607","Tree Swallow",250,43.091753,-76.7652052,2014-09-27,"08:09:00","Traveling",99,1.609,NA,15,1,270
"5657064","Tree Swallow",1000,43.0444291,-76.7268848,2015-08-23,"09:05:00","Traveling",58,1.609,NA,2,1,235
"5657074","Tree Swallow",1000,43.0489452,-76.7335796,2015-08-23,"07:33:00","Traveling",100,1.127,NA,1,1,235
"5657106","Tree Swallow",1000,43.0444291,-76.7268848,2015-09-05,"14:45:00","Stationary",10,NA,NA,4,1,248
"5657137","Tree Swallow",1000,43.0444291,-76.7268848,2015-09-05,"14:45:00","Stationary",10,NA,NA,4,1,248
"5657145","Tree Swallow",1000,43.0444291,-76.7268848,2015-09-05,"14:45:00","Stationary",10,NA,NA,4,1,248
"5657146","Tree Swallow",1000,43.0444291,-76.7268848,2015-09-05,"14:45:00","Stationary",10,NA,NA,4,1,248
"5657801","Tree Swallow",250,43.107057,-76.727404,2016-08-14,"10:05:00","Traveling",13,1.609,NA,1,1,227
"5657819","Tree Swallow",300,43.0673045,-76.7170787,2016-09-16,"19:00:00","Stationary",40,NA,NA,2,1,260
"5657856","Tree Swallow",300,43.0673045,-76.7170787,2016-09-16,"19:00:00","Stationary",40,NA,NA,2,1,260
"5657858","Tree Swallow",250,43.091753,-76.7652052,2016-09-18,"10:43:00","Traveling",21,0.161,NA,1,1,262
"5657934","Tree Swallow",5000,43.0444291,-76.7268848,2016-09-16,"19:00:00","Traveling",67,0.805,NA,4,1,260
"5657935","Tree Swallow",5000,43.0444291,-76.7268848,2016-09-16,"19:00:00","Traveling",67,0.805,NA,4,1,260
"5657936","Tree Swallow",5000,43.0444291,-76.7268848,2016-09-16,"19:00:00","Traveling",67,0.805,NA,4,1,260
